feature,coefficient,abs_coef
emp.var.rate,-2.257415253467417,2.257415253467417
month_mar,1.4365834164810243,1.4365834164810243
cons.price.idx,1.1758233981216237,1.1758233981216237
contact_telephone,-0.72891881611426,0.72891881611426
poutcome_success,0.6688948528228104,0.6688948528228104
month_jun,-0.6519076581681356,0.6519076581681356
nr.employed,0.4700968630138895,0.4700968630138895
month_dec,0.4642004401167857,0.4642004401167857
month_aug,0.4557625916683433,0.4557625916683433
month_nov,-0.45381871350715425,0.45381871350715425
month_may,-0.4386061520972225,0.4386061520972225
marital_unknown,0.4290205183976357,0.4290205183976357
poutcome_nonexistent,0.3754757151295205,0.3754757151295205
euribor3m,0.32986845819432964,0.32986845819432964
job_retired,0.31564036884921354,0.31564036884921354
education_illiterate,0.27870210208637897,0.27870210208637897
default_unknown,-0.23770173510158954,0.23770173510158954
pdays,-0.21933001378532846,0.21933001378532846
day_of_week_mon,-0.19997815235473845,0.19997815235473845
month_sep,0.1933871939918475,0.1933871939918475
job_student,0.15054484165987644,0.15054484165987644
day_of_week_wed,0.14940081127587712,0.14940081127587712
job_services,-0.14469513876066942,0.14469513876066942
education_basic.6y,0.1401971996739933,0.1401971996739933
job_blue-collar,-0.1342696451036332,0.1342696451036332
cons.conf.idx,0.13423139560921585,0.13423139560921585
marital_single,0.12555018696499706,0.12555018696499706
campaign,-0.12543358505051078,0.12543358505051078
education_unknown,0.11331533599592006,0.11331533599592006
education_university.degree,0.0975278553107637,0.0975278553107637
education_basic.9y,-0.0668225355634243,0.0668225355634243
housing_yes,-0.06002877076013139,0.06002877076013139
marital_married,0.05897620998910412,0.05897620998910412
month_jul,0.0533007596957037,0.0533007596957037
previous,-0.04595785583399396,0.04595785583399396
job_self-employed,-0.04481719502186986,0.04481719502186986
day_of_week_thu,0.04328514712687974,0.04328514712687974
job_housemaid,-0.04196932119829641,0.04196932119829641
day_of_week_tue,0.03894715843355857,0.03894715843355857
default_yes,-0.03616112333008647,0.03616112333008647
job_entrepreneur,-0.03212238806802515,0.03212238806802515
loan_yes,0.031120309542056926,0.031120309542056926
job_unemployed,-0.0224210258131221,0.0224210258131221
education_high.school,0.019224767942888667,0.019224767942888667
job_management,-0.018346693656409233,0.018346693656409233
loan_unknown,0.016730485602194343,0.016730485602194343
housing_unknown,0.016730485602194343,0.016730485602194343
job_unknown,0.013481839967229084,0.013481839967229084
month_oct,0.012286203534975055,0.012286203534975055
education_professional.course,0.006189145599257292,0.006189145599257292
age,-0.005350836807703316,0.005350836807703316
job_technician,-0.0002704174630932042,0.0002704174630932042
